,salary,pcsalary,sales,roe,pcroe,ros,indus,finance,consprod,utility,lsalary,lsales
0,1095,20,27595.0,14.100000381469728,106.4000015258789,191,1,0,0,0,6.998509407043457,10.22538948059082
1,1001,32,9958.0,10.899999618530272,-30.600000381469727,13,1,0,0,0,6.908754825592041,9.206131935119627
2,1122,9,6125.89990234375,23.5,-16.299999237060547,14,1,0,0,0,7.0228681564331055,8.720280647277832
3,578,-9,16246.0,5.900000095367432,-25.700000762939453,-21,1,0,0,0,6.359573841094971,9.695602416992188
4,1368,7,21783.19921875,13.800000190734863,-3.0,56,1,0,0,0,7.221105098724365,9.98889446258545
5,1145,5,6021.39990234375,20.0,1.0,55,1,0,0,0,7.04315996170044,8.703075408935547
6,1078,10,2266.699951171875,16.399999618530273,-5.900000095367432,62,1,0,0,0,6.982862949371338,7.726080417633057
7,1094,7,2966.800048828125,16.299999237060547,-1.600000023841858,44,1,0,0,0,6.99759578704834,7.9952392578125
8,1237,16,4570.2001953125,10.5,-70.19999694824219,37,1,0,0,0,7.120444297790527,8.427311897277832
9,833,5,2830.0,26.299999237060547,-23.899999618530277,37,1,0,0,0,6.725033760070801,7.948031902313232
10,567,7,596.7999877929688,25.899999618530277,39.5,109,1,0,0,0,6.340359210968018,6.391582012176514
11,933,-3,19773.0,26.799999237060547,-26.799999237060547,-10,1,0,0,0,6.838405132293701,9.892072677612305
12,1339,-9,40047.0,14.800000190734863,12.100000381469728,41,1,0,0,0,7.199678421020508,10.597808837890623
13,937,9,2513.800048828125,22.299999237060547,9.800000190734863,44,1,0,0,0,6.8426833152771,7.829550743103027
14,2011,49,1580.5999755859375,56.29999923706055,62.20000076293945,63,1,0,0,0,7.606387615203857,7.3655595779418945
15,1585,4,6754.0,12.600000381469728,9.300000190734863,17,1,0,0,0,7.368339538574219,8.817890167236328
16,905,12,1066.300048828125,20.399999618530277,33.79999923706055,141,1,0,0,0,6.807934761047363,6.971950054168701
17,1058,94,3199.89990234375,1.899999976158142,-86.80000305175781,-15,1,0,0,0,6.964135646820068,8.07087516784668
18,922,48,1452.699951171875,19.899999618530277,97.3000030517578,56,1,0,0,0,6.826545238494873,7.281178951263428
19,1220,-7,8995.0,15.399999618530272,19.5,28,1,0,0,0,7.1066060066223145,9.104424476623535
20,1022,16,1212.300048828125,38.70000076293945,162.89999389648438,83,1,0,0,0,6.929516792297363,7.100274562835693
21,759,12,2824.199951171875,16.399999618530273,-9.399999618530272,21,1,0,0,0,6.632001876831055,7.945980548858643
22,1414,0,7621.0,24.399999618530277,-30.200000762939453,-10,1,0,0,0,7.254178047180176,8.9386625289917
23,1041,-11,4418.2998046875,15.600000381469728,-7.5,74,1,0,0,0,6.94793701171875,8.393509864807129
24,1688,1,12343.0,14.399999618530272,-16.799999237060547,15,1,0,0,0,7.431299686431885,9.420844078063965
25,2983,13,57662.0,19.0,9.899999618530272,42,1,0,0,0,8.00068473815918,10.962353706359863
26,1160,0,4319.7001953125,16.100000381469727,-23.299999237060547,-2,1,0,0,0,7.056175231933594,8.370941162109375
27,3844,61,20604.0,12.100000381469728,-5.900000095367432,18,1,0,0,0,8.254268646240234,9.93324089050293
28,476,6,611.2999877929688,16.200000762939453,-15.699999809265137,40,1,0,0,0,6.165417671203613,6.415587902069092
29,1492,10,12431.7001953125,18.399999618530277,-23.299999237060547,58,1,0,0,0,7.307872772216797,9.42800521850586
30,1024,-3,8169.0,14.199999809265137,-36.20000076293945,-10,1,0,0,0,6.931471824645996,9.008101463317873
31,1593,18,20659.0,14.899999618530272,410.2999877929688,16,1,0,0,0,7.373374462127685,9.935906410217283
32,427,27,3072.10009765625,12.399999618530272,-17.700000762939453,61,1,0,0,0,6.056784152984619,8.03011703491211
33,829,5,1669.0999755859375,17.100000381469727,-39.29999923706055,64,1,0,0,0,6.72022008895874,7.420039653778076
34,797,-3,2401.199951171875,16.899999618530273,6.0,39,1,0,0,0,6.680854797363281,7.783723831176758
35,577,23,3043.60009765625,18.100000381469727,-13.5,1,1,0,0,0,6.357842445373535,8.020796775817871
36,1342,7,6222.2001953125,10.899999618530272,-6.0,59,1,0,0,0,7.201916217803955,8.735878944396973
37,1774,0,7727.89990234375,19.299999237060547,15.300000190734863,19,1,0,0,0,7.480992317199707,8.952592849731445
38,709,11,719.5,18.299999237060547,4.599999904632568,65,1,0,0,0,6.563855648040772,6.578556537628174
39,860,28,3921.300048828125,18.399999618530277,34.70000076293945,45,1,0,0,0,6.756932258605957,8.274178504943848
40,1336,20,5155.10009765625,13.800000190734863,1.7000000476837158,7,1,0,0,0,7.19743537902832,8.547741889953613
41,516,-2,649.2000122070312,13.699999809265137,-10.300000190734863,27,1,0,0,0,6.246106624603272,6.475740909576416
42,931,20,10885.0,12.699999809265137,14.5,10,1,0,0,0,6.836259365081787,9.295141220092772
43,815,12,1651.9000244140625,15.100000381469728,-2.400000095367432,33,1,0,0,0,6.703187942504883,7.40968132019043
44,1681,20,12915.0,16.5,-66.69999694824219,29,1,0,0,0,7.427144050598144,9.466144561767578
45,568,-36,11436.0,10.199999809265137,-48.29999923706055,-19,1,0,0,0,6.342121601104736,9.344521522521973
46,775,7,2210.300048828125,19.600000381469727,18.899999618530277,34,1,0,0,0,6.652863025665283,7.700883388519287
47,1188,9,3737.800048828125,12.800000190734863,32.5,15,1,0,0,0,7.080026626586914,8.226252555847168
48,782,-1,1976.699951171875,15.899999618530272,-0.6000000238418579,24,1,0,0,0,6.66185474395752,7.589183807373047
49,1170,0,2576.0,17.299999237060547,-39.09999847412109,93,1,0,0,0,7.064759254455566,7.853992938995361
50,1469,8,6309.10009765625,8.5,93.9000015258789,79,1,0,0,0,7.292336940765381,8.749748229980469
51,916,-1,2940.5,16.399999618530273,25.799999237060547,105,1,0,0,0,6.820016384124756,7.986334800720215
52,1070,-9,1072.5999755859375,19.5,34.79999923706055,269,1,0,0,0,6.975413799285889,6.977840900421143
53,894,1,1534.0,19.200000762939453,-3.700000047683716,74,1,0,0,0,6.795705795288086,7.335633754730225
54,829,-4,2158.800048828125,15.899999618530272,-27.600000381469727,-18,1,0,0,0,6.72022008895874,7.677307605743408
55,780,17,1736.0,19.899999618530277,50.70000076293945,23,1,0,0,0,6.659294128417969,7.459338665008545
56,2327,10,3598.800048828125,28.100000381469727,-28.299999237060547,104,1,0,0,0,7.752335071563721,8.188355445861816
57,717,20,1413.5999755859375,25.0,-15.800000190734863,56,1,0,0,0,6.575075626373291,7.253894805908203
58,1368,9,13538.0,15.0,-8.800000190734863,-43,1,0,0,0,7.221105098724365,9.513256072998049
59,2028,185,69018.0,12.600000381469728,2.299999952316284,10,1,0,0,0,7.614805221557617,11.142122268676758
60,1195,2,6285.0,20.299999237060547,6.300000190734863,49,1,0,0,0,7.085901260375977,8.74592113494873
61,256,19,526.2999877929688,22.700000762939453,24.700000762939453,175,1,0,0,0,5.545177459716797,6.265871524810791
62,775,-10,3195.60009765625,14.800000190734863,-32.599998474121094,12,1,0,0,0,6.652863025665283,8.069530487060547
63,1407,80,2762.800048828125,13.199999809265137,-17.399999618530273,28,1,0,0,0,7.249215126037598,7.923999786376953
64,543,14,1873.0999755859373,10.300000190734863,-45.0,-58,1,0,0,0,6.297109127044678,7.5353498458862305
65,874,-10,4648.10009765625,17.700000762939453,-13.899999618530272,-6,1,0,0,0,6.773080348968506,8.4442138671875
66,1287,-3,16951.0,10.0,-1.0,-21,1,0,0,0,7.160068988800049,9.738081932067873
67,1248,16,3506.89990234375,15.600000381469728,5.0,54,0,1,0,0,7.129297733306885,8.162487983703613
68,875,-19,5333.10009765625,6.800000190734863,27.600000381469727,-8,0,1,0,0,6.774223804473877,8.581687927246094
69,925,-3,3296.199951171875,12.399999618530272,-56.900001525878906,-21,0,1,0,0,6.829793930053711,8.100525856018066
70,798,-6,2584.0,13.100000381469728,-50.5,10,0,1,0,0,6.682108402252197,7.857093811035156
71,760,14,834.4000244140625,15.800000190734863,3.0,55,0,1,0,0,6.6333184242248535,6.726712703704834
72,600,-41,4068.699951171875,12.800000190734863,-32.0,-6,0,1,0,0,6.396929740905762,8.311079025268555
73,991,18,2518.60009765625,15.300000190734863,13.300000190734863,65,0,1,0,0,6.898714542388916,7.831458568572998
74,1570,14,10465.0,0.5,977.0,36,0,1,0,0,7.35883092880249,9.255791664123535
75,911,1,2682.39990234375,16.5,31.5,23,0,1,0,0,6.814542770385742,7.894467353820801
76,1360,12,2688.199951171875,15.100000381469728,23.0,67,0,1,0,0,7.215240001678467,7.896626949310303
77,700,-53,6682.2998046875,13.0,5.800000190734863,53,0,1,0,0,6.551080226898193,8.807217597961426
78,741,-50,4879.89990234375,11.100000381469728,-77.69999694824219,-26,0,1,0,0,6.608000755310059,8.492879867553711
79,1097,143,2772.10009765625,8.899999618530273,595.5999755859375,20,0,1,0,0,7.0003342628479,7.927360534667969
80,953,15,1320.4000244140625,17.5,-4.300000190734863,83,0,1,0,0,6.859614849090576,7.185689926147461
81,441,-7,3408.5,15.899999618530272,-10.0,37,0,1,0,0,6.08904504776001,8.134027481079102
82,595,18,1919.699951171875,14.199999809265137,31.399999618530277,61,0,1,0,0,6.388561248779297,7.559924125671387
83,1067,1,19020.5,9.300000190734863,-37.79999923706055,4,0,1,0,0,6.972606182098389,9.853272438049316
84,1298,3,4778.2998046875,9.5,-26.700000762939453,-2,0,1,0,0,7.168580055236816,8.471839904785156
85,1798,-31,24332.0,15.5,-59.5,2,0,1,0,0,7.494430065155029,10.099547386169434
86,4143,-10,2678.39990234375,14.399999618530272,-12.800000190734863,42,0,1,0,0,8.329174995422363,7.892974853515625
87,1336,8,4481.0,11.100000381469728,10.800000190734863,15,0,1,0,0,7.19743537902832,8.407601356506348
88,1750,11,14932.099609375,15.899999618530272,-7.800000190734863,62,0,1,0,0,7.467370986938477,9.611268043518066
89,912,15,2626.39990234375,16.399999618530273,0.3000000119209289,70,0,1,0,0,6.815639972686768,7.873369216918945
90,1892,-16,2659.5,8.600000381469727,-1.399999976158142,126,0,1,0,0,7.545389652252197,7.88589334487915
91,833,19,1073.199951171875,24.600000381469727,14.399999618530272,51,0,1,0,0,6.725033760070801,6.978400230407715
92,1142,-12,2577.300048828125,15.399999618530272,-22.399999618530277,56,0,1,0,0,7.040536403656006,7.85449743270874
93,1159,13,4293.7998046875,16.899999618530273,2.5999999046325684,107,0,1,0,0,7.055312633514404,8.364927291870117
94,1283,16,18164.0,7.199999809265137,-47.29999923706055,14,0,1,0,0,7.156956195831299,9.807196617126465
95,2109,42,9944.400390625,11.600000381469728,-42.20000076293945,23,0,1,0,0,7.653969287872314,9.20476531982422
96,1039,-21,12719.0,26.399999618530277,43.400001525878906,264,0,1,0,0,6.946013927459717,9.450852394104004
97,992,42,1931.5999755859373,21.399999618530277,-9.199999809265137,52,0,1,0,0,6.899723052978516,7.566103935241699
98,1253,4,2993.199951171875,19.200000762939453,1.899999976158142,74,0,1,0,0,7.133296012878418,8.004097938537598
99,721,9,2127.199951171875,15.100000381469728,-22.299999237060547,101,0,1,0,0,6.580639362335205,7.662561893463135
100,1351,4,4211.89990234375,9.0,-18.0,-4,0,1,0,0,7.2086005210876465,8.34566879272461
101,1391,25,8489.599609375,9.399999618530272,-27.299999237060547,26,0,1,0,0,7.237778186798096,9.046597480773926
102,1245,25,12222.7998046875,19.0,-20.899999618530277,52,0,1,0,0,7.126890659332275,9.41105842590332
103,1550,0,11213.400390625,3.5,-55.400001525878906,6,0,1,0,0,7.346010208129883,9.324864387512209
104,2150,-61,5869.60009765625,22.100000381469727,-38.0,68,0,1,0,0,7.67322301864624,8.677541732788086
105,1846,20,6193.7998046875,10.899999618530272,-14.699999809265137,6,0,1,0,0,7.520776271820068,8.731304168701172
106,573,8,3053.199951171875,15.100000381469728,-3.799999952316284,31,0,1,0,0,6.35088586807251,8.023945808410645
107,6640,4,8946.0,10.199999809265137,87.5999984741211,34,0,1,0,0,8.800867080688477,9.09896183013916
108,959,49,4045.199951171875,17.299999237060547,-7.800000190734863,51,0,1,0,0,6.865890979766846,8.305286407470703
109,612,39,3618.89990234375,33.29999923706055,-10.5,68,0,1,0,0,6.416732311248779,8.193924903869629
110,1820,69,1796.0999755859375,22.799999237060547,12.699999809265137,115,0,1,0,0,7.506591796875,7.493372917175293
111,1411,2,6703.10009765625,11.100000381469728,-37.20000076293945,28,0,1,0,0,7.252053737640381,8.810325622558594
112,1026,6,2170.300048828125,12.399999618530272,134.60000610351562,162,0,1,0,0,6.933423042297363,7.682620525360107
113,1287,-12,4674.0,20.899999618530277,84.19999694824219,-47,0,0,0,1,7.160068988800049,8.4497709274292
114,800,162,3372.0,6.699999809265137,29.0,60,0,0,0,1,6.684611797332764,8.123261451721191
115,1115,-9,8205.0,7.099999904632568,13.899999618530272,23,0,0,0,1,7.0166096687316895,9.01249885559082
116,1631,33,4617.0,11.800000190734863,227.0,75,0,0,0,1,7.39694881439209,8.4375
117,1910,23,6964.0,14.0,2.700000047683716,43,0,0,0,1,7.554858684539795,8.848508834838867
118,996,-3,6623.0,10.100000381469728,-63.59999847412109,10,0,0,1,0,6.903747081756592,8.798303604125977
119,918,-35,29797.0,6.400000095367432,-95.0,-28,0,0,1,0,6.822197437286377,10.302163124084473
120,1261,21,5225.5,12.399999618530272,-54.900001525878906,1,0,0,1,0,7.139660358428955,8.56130599975586
121,1053,-8,3639.0,17.600000381469727,-22.299999237060547,5,0,0,1,0,6.959398746490479,8.199463844299316
122,1221,-43,97649.8984375,15.100000381469728,-85.19999694824219,-7,0,0,1,0,7.107425689697266,11.489144325256348
123,1738,19,10743.599609375,23.600000381469727,11.5,36,0,0,1,0,7.460490226745605,9.282065391540527
124,3142,15,10236.2998046875,35.70000076293945,27.200000762939453,155,0,0,1,0,8.05261516571045,9.233695030212402
125,1900,26,17802.69921875,23.200000762939453,-7.800000190734863,142,0,0,1,0,7.549609184265137,9.787105560302734
126,427,21,6158.7001953125,12.399999618530272,-17.700000762939453,95,0,0,1,0,6.056784152984619,8.725621223449707
127,1700,8,6775.2001953125,44.400001525878906,37.70000076293945,61,0,0,1,0,7.43838357925415,8.821023941040039
128,360,103,298.70001220703125,2.0999999046325684,23.100000381469727,302,0,0,1,0,5.886104106903076,5.699440002441406
129,459,9,785.2999877929688,18.399999618530277,-43.09999847412109,5,0,0,1,0,6.129050254821777,6.666065692901611
130,1340,5,1368.5999755859375,16.100000381469727,12.600000381469728,115,0,0,1,0,7.200424671173096,7.221543788909912
131,729,25,2066.10009765625,15.100000381469728,-8.399999618530273,52,0,0,1,0,6.591673851013184,7.633418083190918
132,223,-6,181.5,22.700000762939453,32.599998474121094,295,0,0,1,0,5.407171726226807,5.201255798339844
133,2101,25,10300.0,23.399999618530277,46.900001525878906,76,0,0,1,0,7.6501688957214355,9.23989963531494
134,1082,28,11232.0,25.700000762939453,-2.400000095367432,101,0,0,1,0,6.986566543579102,9.32652187347412
135,1781,31,5191.60009765625,27.0,141.0,98,0,0,1,0,7.484930515289307,8.554797172546387
136,791,18,976.7000122070312,19.899999618530277,-13.199999809265137,89,0,0,1,0,6.673297882080078,6.884179592132568
137,2092,-11,7671.5,43.70000076293945,8.5,80,0,0,1,0,7.645875930786133,8.945267677307129
138,1573,10,6406.0,16.399999618530273,-11.5,87,0,0,1,0,7.360739707946777,8.76499080657959
139,1045,9,2917.39990234375,11.600000381469728,-98.9000015258789,203,0,0,1,0,6.951772212982178,7.978447914123535
140,1694,12,3322.89990234375,24.799999237060547,23.899999618530277,100,0,0,1,0,7.434847831726074,8.108592987060547
141,453,20,175.1999969482422,26.200000762939453,35.599998474121094,418,0,0,1,0,6.115891933441162,5.165928363800049
142,1130,1,1686.300048828125,44.5,3.400000095367432,99,0,0,1,0,7.029973030090332,7.430292129516602
143,1334,13,514.0999755859375,22.299999237060547,62.400001525878906,358,0,0,1,0,7.195937156677246,6.242417812347412
144,1344,13,3032.699951171875,22.299999237060547,62.400001525878906,36,0,0,1,0,7.203405380249023,8.017208099365234
145,1585,5,4686.89990234375,35.099998474121094,2.200000047683716,111,0,0,1,0,7.368339538574219,8.452527046203613
146,1946,45,8388.099609375,13.100000381469728,5.900000095367432,88,0,0,1,0,7.573531150817871,9.03456974029541
147,1619,9,7632.7998046875,11.0,22.600000381469727,32,0,0,1,0,7.389564037322998,8.940210342407227
148,1620,12,17453.80078125,19.399999618530277,-12.800000190734863,128,0,0,1,0,7.390181541442871,9.76731300354004
149,967,-27,5781.10009765625,28.5,-11.0,119,0,0,1,0,6.8741984367370605,8.662349700927734
150,1431,0,6896.2001953125,43.900001525878906,3.5,110,0,0,1,0,7.266129016876221,8.838726043701172
151,1231,9,6503.10009765625,26.799999237060547,19.799999237060547,84,0,0,1,0,7.11558198928833,8.780034065246582
152,770,-4,2715.60009765625,15.699999809265137,-2.5,63,0,0,1,0,6.646390438079834,7.906768321990967
153,1594,53,2761.89990234375,15.0,27.799999237060547,85,0,0,1,0,7.374001979827881,7.9236741065979
154,1568,47,5181.39990234375,28.200000762939453,-19.100000381469727,55,0,0,1,0,7.357556343078613,8.552830696105957
155,995,15,1323.0,15.399999618530272,74.5999984741211,195,0,0,1,0,6.902742862701416,7.187657356262207
156,1077,-16,5296.0,20.0,27.5,36,0,0,1,0,6.981934547424316,8.57470703125
157,1161,9,7177.0,42.20000076293945,-2.799999952316284,68,0,0,1,0,7.057036876678467,8.878636360168457
158,1401,1,12183.5,19.600000381469727,-2.0999999046325684,93,0,0,1,0,7.244941711425781,9.407837867736816
159,1127,4,7863.5,16.200000762939453,26.0,152,0,0,1,0,7.02731466293335,8.969986915588379
160,3068,-14,3825.60009765625,21.5,-27.600000381469727,142,0,0,1,0,8.028780937194824,8.249470710754395
161,730,7,1110.5999755859375,29.5,20.5,60,0,0,1,0,6.593044757843018,7.012655735015869
162,729,-10,1391.300048828125,22.600000381469727,-17.200000762939453,32,0,0,1,0,6.591673851013184,7.2379937171936035
163,11233,17,6047.89990234375,22.899999618530277,9.899999618530272,74,0,0,1,0,9.326611518859863,8.707466125488281
164,949,-11,18908.0,13.0,-46.70000076293945,-3,0,0,1,0,6.855408668518066,9.84734058380127
165,3646,-11,3921.5,7.800000190734863,-64.19999694824219,29,0,0,1,0,8.201385498046875,8.274229049682617
166,1502,212,3453.800048828125,48.09999847412109,35.099998474121094,28,0,0,1,0,7.314552783966064,8.14723014831543
167,807,10,1558.5,18.0,-1.0,49,0,0,1,0,6.693323612213135,7.351479053497314
168,713,8,962.7999877929688,18.0,7.599999904632568,81,0,0,1,0,6.569481372833252,6.869845867156982
169,1489,0,25848.0,21.700000762939453,380.6000061035156,114,0,0,1,0,7.305860042572021,10.159988403320312
170,736,73,631.5,21.299999237060547,60.79999923706055,71,0,0,1,0,6.601230144500732,6.4480977058410645
171,1226,53,1728.9000244140625,26.899999618530277,-7.099999904632568,84,0,0,1,0,7.111512184143066,7.455240726470947
172,543,112,2669.300048828125,30.5,24.899999618530277,323,0,0,1,0,6.297109127044678,7.889571666717529
173,14822,1,2159.199951171875,19.399999618530277,-37.29999923706055,17,0,0,1,0,9.603867530822754,7.677493095397949
174,890,-18,2612.60009765625,15.600000381469728,-49.0,-14,0,0,1,0,6.791221618652344,7.868101119995117
175,1627,6,8270.2998046875,19.399999618530277,-3.700000047683716,104,0,0,1,0,7.394493103027344,9.020425796508787
176,2408,28,44323.0,29.100000381469727,9.800000190734863,160,0,0,1,0,7.7865519523620605,10.699258804321287
177,2248,6,764.7000122070312,40.79999923706055,44.400001525878906,191,0,0,1,0,7.717796325683594,6.639483451843262
178,787,20,5167.5,13.699999809265137,-4.0,34,0,0,0,1,6.668228149414063,8.55014419555664
179,474,-5,2159.300048828125,11.100000381469728,-58.20000076293945,16,0,0,0,1,6.16120719909668,7.677539348602295
180,439,7,2617.10009765625,10.800000190734863,-16.100000381469727,65,0,0,0,1,6.084499359130859,7.869822025299072
181,465,11,2367.699951171875,5.099999904632568,-25.0,43,0,0,0,1,6.142037391662598,7.769674301147461
182,594,33,2744.0,12.300000190734863,-12.199999809265137,76,0,0,0,1,6.3868794441223145,7.917171955108643
183,688,-6,2357.89990234375,7.400000095367432,-9.699999809265137,33,0,0,0,1,6.533788681030273,7.76552677154541
184,607,12,5262.0,6.199999809265137,-94.8000030517578,59,0,0,0,1,6.408528804779053,8.568266868591309
185,634,44,5738.89990234375,12.699999809265137,-7.0,38,0,0,0,1,6.452048778533936,8.655022621154785
186,532,2,2714.89990234375,10.600000381469728,-21.200000762939453,35,0,0,0,1,6.2766432762146,7.906510353088379
187,441,39,3306.699951171875,7.400000095367432,13.0,150,0,0,0,1,6.08904504776001,8.103706359863281
188,694,18,3532.5,12.600000381469728,-13.800000190734863,37,0,0,0,1,6.542471885681152,8.169760704040527
189,520,-6,3681.5,12.800000190734863,-7.699999809265137,64,0,0,0,1,6.253829002380371,8.211075782775879
190,757,12,3982.10009765625,2.900000095367432,45.400001525878906,197,0,0,0,1,6.629363059997559,8.289565086364746
191,668,30,2996.0,13.5,-3.299999952316284,81,0,0,0,1,6.504288196563721,8.005033493041992
192,803,18,4178.60009765625,10.699999809265137,-29.899999618530277,52,0,0,0,1,6.6883544921875,8.33773136138916
193,500,3,2616.300048828125,11.899999618530272,-1.2999999523162842,25,0,0,0,1,6.214608192443848,7.869516372680664
194,552,-5,2064.5,12.899999618530272,-16.799999237060547,37,0,0,0,1,6.3135480880737305,7.632643222808838
195,412,-5,2225.5,10.100000381469728,-27.399999618530277,13,0,0,0,1,6.021023273468018,7.707736968994141
196,1100,58,9470.099609375,7.300000190734863,76.5999984741211,82,0,0,0,1,7.003065586090088,9.15589427947998
197,959,26,3783.199951171875,14.600000381469728,5.0,65,0,0,0,1,6.865890979766846,8.238325119018555
198,333,34,2388.699951171875,13.800000190734863,6.5,59,0,0,0,1,5.80814266204834,7.778504371643066
199,503,-19,3705.199951171875,8.899999618530273,-96.8000030517578,29,0,0,0,1,6.220590114593506,8.21749210357666
200,448,-8,1411.699951171875,14.0,-33.5,14,0,0,0,1,6.104793071746826,7.25255012512207
201,732,7,4800.10009765625,12.899999618530272,-11.199999809265137,36,0,0,0,1,6.595780372619629,8.476391792297363
202,720,8,1771.9000244140625,14.5,13.600000381469728,78,0,0,0,1,6.579251289367676,7.47980785369873
203,808,-16,7198.5,14.699999809265137,7.400000095367432,49,0,0,0,1,6.694561958312988,8.881628036499023
204,930,10,1509.0999755859375,9.0,20.5,131,0,0,0,1,6.835184574127197,7.319268703460693
205,525,3,1097.0999755859375,15.5,20.100000381469727,72,0,0,0,1,6.263398170471191,7.000425815582275
206,658,32,4542.60009765625,12.100000381469728,-7.800000190734863,68,0,0,0,1,6.48920488357544,8.421255111694336
207,555,6,2023.0,13.699999809265137,-14.600000381469728,60,0,0,0,1,6.318968296051025,7.6123366355896
208,626,0,1442.5,14.399999618530272,-10.199999809265137,62,0,0,0,1,6.439350605010986,7.274133205413818
